epoch	loss	acc	val_loss	val_acc
0	1.718329	0.623499	46.999106	0.107143
1	1.725255	0.728130	44.293625	0.107143
2	0.977012	0.813894	63.689538	0.059524
3	0.493901	0.892796	20.917622	0.125000
4	0.405553	0.903945	25.122485	0.071429
5	0.340137	0.924528	38.970134	0.113095
6	0.250453	0.929674	22.436423	0.119048
7	0.208165	0.945112	31.257424	0.172619
8	0.141289	0.959691	28.402853	0.077381
9	0.093764	0.970840	19.417610	0.148810
10	0.067618	0.978559	15.312951	0.178571
11	0.109147	0.969983	25.452081	0.083333
12	0.074280	0.980274	17.656284	0.196429
13	0.061742	0.983705	24.865216	0.202381
14	0.049024	0.983705	7.778993	0.476190
15	0.131659	0.969125	9.307639	0.422619
16	0.109688	0.976844	10.103099	0.339286
17	0.065819	0.980274	6.808187	0.482143
18	0.031069	0.991497	6.713609	0.565476
19	0.050176	0.986278	3.984156	0.672619
20	0.085021	0.981132	8.051039	0.464286
21	0.042475	0.984563	3.110006	0.678571
22	0.044462	0.986278	3.066722	0.738095
23	0.038840	0.985420	2.150582	0.797619
24	0.024342	0.991424	2.631203	0.767857
25	0.044762	0.986159	2.410984	0.779762
26	0.029627	0.987245	1.711018	0.821429
27	0.032587	0.987889	1.139588	0.869048
28	0.042360	0.991424	1.203076	0.880952
29	0.040080	0.989796	0.762937	0.904762
30	0.023102	0.991349	1.107170	0.880952
31	0.016300	0.994898	1.689923	0.857143
32	0.017629	0.993997	1.400333	0.880952
33	0.025981	0.992281	2.014941	0.839286
34	0.008982	0.997427	1.832385	0.845238
35	0.010673	0.996569	1.652880	0.827381
36	0.009663	0.997427	1.443766	0.875000
37	0.002928	1.000000	1.384439	0.875000
38	0.003417	0.999142	1.241391	0.875000
39	0.007845	0.996569	1.154323	0.875000
40	0.019206	0.995675	0.888629	0.916667
41	0.005639	0.998299	0.797946	0.910714
42	0.004727	0.999142	0.791658	0.922619
43	0.004704	0.997427	0.663735	0.916667
44	0.021391	0.997427	0.938000	0.886905
45	0.005319	0.998285	1.028201	0.880952
46	0.006973	0.997427	0.849425	0.892857
47	0.005299	0.998285	0.733984	0.910714
48	0.021433	0.992281	0.967131	0.886905
49	0.030468	0.991424	0.605361	0.916667
50	0.009434	0.994854	0.584700	0.922619
51	0.020906	0.994854	0.528335	0.940476
52	0.014766	0.995712	0.447706	0.940476
53	0.012375	0.995712	0.454937	0.940476
54	0.025557	0.989708	0.488860	0.922619
55	0.021253	0.992281	0.457406	0.940476
56	0.007917	0.998285	0.424132	0.940476
57	0.013080	0.996569	0.300283	0.946429
58	0.007948	0.997427	0.331814	0.940476
59	0.003647	0.999150	0.250207	0.946429
60	0.006456	0.997405	0.260862	0.946429
61	0.005005	0.998285	0.192113	0.946429
62	0.001878	0.999142	0.185890	0.946429
63	0.002923	0.999142	0.183366	0.940476
64	0.006215	0.998299	0.371898	0.952381
65	0.027800	0.993945	0.303705	0.940476
66	0.005666	0.999150	0.311039	0.940476
67	0.013278	0.994810	0.432826	0.916667
68	0.005548	0.996569	0.424620	0.928571
69	0.017285	0.996569	0.382734	0.940476
70	0.016782	0.996599	0.442817	0.946429
71	0.007522	0.997427	0.465350	0.928571
72	0.011288	0.996569	0.357895	0.934524
73	0.025025	0.994854	0.299482	0.946429
74	0.030239	0.994810	0.449199	0.916667
75	0.013749	0.995712	0.224602	0.964286
76	0.008587	0.998299	0.262863	0.952381
77	0.004693	0.998285	0.282033	0.952381
78	0.011133	0.996569	0.265502	0.970238
79	0.018252	0.994810	0.442533	0.946429
80	0.010814	0.996599	0.314171	0.952381
81	0.012553	0.998285	0.464491	0.928571
82	0.006316	0.997427	0.537724	0.928571
83	0.007944	0.997427	0.388807	0.928571
84	0.010902	0.996569	0.452511	0.946429
85	0.007686	0.996569	0.420151	0.952381
86	0.003474	0.999142	0.318477	0.958333
87	0.003771	0.998270	0.373580	0.952381
88	0.002226	1.000000	0.389168	0.940476
89	0.002536	0.999150	0.371451	0.946429
90	0.011128	0.997427	0.341849	0.940476
91	0.011329	0.996569	0.320089	0.952381
92	0.025301	0.993997	0.151494	0.940476
93	0.020934	0.996569	0.180100	0.964286
94	0.012532	0.996569	0.193950	0.952381
95	0.002454	0.999142	0.200172	0.964286
96	0.004273	0.998285	0.221794	0.958333
97	0.004247	0.999142	0.292057	0.958333
98	0.012489	0.995712	0.277687	0.958333
99	0.012837	0.998285	0.215387	0.958333
